Iteration,Walker_Type,Walker_ID,Step,x0,x1,x2
0,turtle,0,1,1,3,0
0,turtle,1,1,2,3,1
0,turtle,2,1,1,3,0
0,turtle,3,1,1,3,0
0,turtle,4,1,1,3,0
0,rabbit,5,1,0,3,0
0,turtle,0,2,2,3,0
0,turtle,1,2,2,2,1
0,turtle,2,2,2,3,0
0,turtle,3,2,2,3,0
0,turtle,4,2,0,3,0
0,rabbit,5,2,2,3,0
0,turtle,0,3,2,3,1
0,turtle,1,3,2,2,0
0,turtle,2,3,1,3,0
0,turtle,3,3,1,3,0
0,turtle,4,3,0,3,1
0,rabbit,5,3,0,3,0
0,turtle,0,4,2,2,1
0,turtle,1,4,2,1,0
0,turtle,2,4,2,3,0
0,turtle,3,4,2,3,0
0,turtle,4,4,1,3,1
0,rabbit,5,4,0,3,2
0,turtle,0,5,2,3,1
0,turtle,1,5,2,2,0
0,turtle,2,5,1,3,0
0,turtle,3,5,2,3,1
0,turtle,4,5,1,3,2
0,rabbit,5,5,0,3,0
0,turtle,0,6,1,3,1
0,turtle,1,6,1,2,0
0,turtle,2,6,2,3,0
0,turtle,3,6,2,3,0
0,turtle,4,6,2,3,2
0,rabbit,5,6,0,3,2
0,turtle,0,7,2,3,1
0,turtle,1,7,1,2,1
0,turtle,2,7,1,3,0
0,turtle,3,7,1,3,0
0,turtle,4,7,2,3,3
0,rabbit,5,7,0,3,0
0,turtle,0,8,2,3,0
0,turtle,1,8,2,2,1
0,turtle,2,8,0,3,0
0,turtle,3,8,2,3,0
0,turtle,4,8,2,3,2
0,rabbit,5,8,2,3,0
0,turtle,0,9,2,3,1
0,turtle,1,9,2,2,2
0,turtle,2,9,1,3,0
0,turtle,3,9,2,3,1
0,turtle,4,9,1,3,2
0,rabbit,5,9,0,3,0
0,turtle,0,10,2,2,1
0,turtle,1,10,2,2,1
0,turtle,2,10,0,3,0
0,turtle,3,10,1,3,1
0,turtle,4,10,0,3,2
0,rabbit,5,10,0,3,2
0,turtle,0,11,2,2,2
0,turtle,1,11,2,3,1
0,turtle,2,11,0,3,1
0,turtle,3,11,0,3,1
0,turtle,4,11,0,3,1
0,rabbit,5,11,2,3,2
0,turtle,0,12,2,2,1
0,turtle,1,12,2,2,1
0,turtle,2,12,0,3,0
0,turtle,3,12,0,3,2
0,turtle,4,12,0,3,0
0,rabbit,5,12,0,3,2
0,turtle,0,13,2,2,0
0,turtle,1,13,1,2,1
0,turtle,2,13,1,3,0
0,turtle,3,13,1,3,2
0,turtle,4,13,0,3,1
0,rabbit,5,13,0,1,2
0,turtle,0,14,3,2,0
0,turtle,1,14,2,2,1
0,turtle,2,14,2,3,0
0,turtle,3,14,1,2,2
0,turtle,4,14,0,3,0
0,rabbit,5,14,0,3,2
0,turtle,0,15,2,2,0
0,turtle,1,15,2,2,0
0,turtle,2,15,2,3,1
0,turtle,3,15,1,2,1
0,turtle,4,15,0,3,1
0,rabbit,5,15,0,1,2
0,turtle,0,16,2,2,1
0,turtle,1,16,2,1,0
0,turtle,2,16,2,3,0
0,turtle,3,16,0,2,1
0,turtle,4,16,0,3,2
0,rabbit,5,16,2,1,2
0,turtle,0,17,2,2,0
0,turtle,1,17,2,2,0
0,turtle,2,17,1,3,0
0,turtle,3,17,1,2,1
0,turtle,4,17,0,3,3
1,turtle,0,1,2,3,1
1,turtle,1,1,2,3,1
1,turtle,2,1,2,3,1
1,turtle,3,1,1,3,0
1,turtle,4,1,2,3,1
1,rabbit,5,1,0,3,0
1,turtle,0,2,1,3,1
1,turtle,1,2,2,3,0
1,turtle,2,2,2,2,1
1,turtle,3,2,2,3,0
1,turtle,4,2,2,2,1
1,rabbit,5,2,2,3,0
1,turtle,0,3,2,3,1
1,turtle,1,3,1,3,0
1,turtle,2,3,2,3,1
1,turtle,3,3,1,3,0
1,turtle,4,3,2,2,0
1,rabbit,5,3,0,3,0
1,turtle,0,4,2,2,1
1,turtle,1,4,2,3,0
1,turtle,2,4,2,2,1
1,turtle,3,4,2,3,0
1,turtle,4,4,1,2,0
1,rabbit,5,4,0,3,2
1,turtle,0,5,2,3,1
1,turtle,1,5,2,3,1
1,turtle,2,5,2,2,0
1,turtle,3,5,1,3,0
1,turtle,4,5,1,2,1
1,rabbit,5,5,0,3,0
1,turtle,0,6,2,3,0
1,turtle,1,6,2,2,1
1,turtle,2,6,2,1,0
1,turtle,3,6,2,3,0
1,turtle,4,6,2,2,1
1,rabbit,5,6,0,3,2
1,turtle,0,7,2,3,1
1,turtle,1,7,2,2,2
1,turtle,2,7,2,2,0
1,turtle,3,7,1,3,0
1,turtle,4,7,2,2,0
1,rabbit,5,7,0,3,0
1,turtle,0,8,1,3,1
1,turtle,1,8,2,2,1
1,turtle,2,8,3,2,0
1,turtle,3,8,2,3,0
1,turtle,4,8,3,2,0
1,rabbit,5,8,0,3,2
1,turtle,0,9,2,3,1
1,turtle,1,9,1,2,1
1,turtle,2,9,2,2,0
1,turtle,3,9,2,3,1
1,turtle,4,9,3,1,0
1,rabbit,5,9,2,3,2
1,turtle,0,10,2,2,1
1,turtle,1,10,0,2,1
1,turtle,2,10,3,2,0
1,turtle,3,10,2,2,1
1,turtle,4,10,3,0,0
1,rabbit,5,10,0,3,2
1,turtle,0,11,1,2,1
1,turtle,1,11,0,2,0
1,turtle,2,11,2,2,0
1,turtle,3,11,2,3,1
1,turtle,4,11,3,1,0
1,rabbit,5,11,0,3,0
1,turtle,0,12,1,2,2
1,turtle,1,12,0,2,1
1,turtle,2,12,2,1,0
1,turtle,3,12,1,3,1
1,turtle,4,12,3,2,0
