Iteration,Walker_Type,Walker_ID,Step,x0,x1
0,turtle,0,1,0,1
0,turtle,1,1,0,1
0,turtle,2,1,2,1
0,turtle,3,1,0,1
0,turtle,4,1,2,1
0,rabbit,5,1,3,1
0,turtle,0,2,0,2
0,turtle,1,2,0,0
0,turtle,2,2,2,2
0,turtle,3,2,0,0
0,turtle,4,2,2,2
0,rabbit,5,2,1,1
0,turtle,0,3,0,1
0,turtle,1,3,1,0
0,turtle,2,3,2,1
0,turtle,3,3,1,0
0,turtle,4,3,1,2
0,rabbit,5,3,3,1
0,turtle,0,4,0,0
0,turtle,1,4,2,0
0,turtle,2,4,3,1
0,turtle,3,4,2,0
0,turtle,4,4,2,2
0,rabbit,5,4,3,3
0,turtle,0,5,1,0
0,turtle,1,5,1,0
0,turtle,2,5,3,2
0,turtle,3,5,1,0
0,turtle,4,5,2,3
0,rabbit,5,5,1,3
0,turtle,0,6,1,1
0,turtle,1,6,1,1
0,turtle,2,6,3,1
0,turtle,3,6,1,1
0,turtle,4,6,3,3
1,turtle,0,1,0,1
1,turtle,1,1,1,0
1,turtle,2,1,0,1
1,turtle,3,1,0,1
1,turtle,4,1,0,1
1,rabbit,5,1,3,1
1,turtle,0,2,1,1
1,turtle,1,2,2,0
1,turtle,2,2,1,1
1,turtle,3,2,1,1
1,turtle,4,2,0,0
1,rabbit,5,2,1,1
1,turtle,0,3,0,1
1,turtle,1,3,1,0
1,turtle,2,3,0,1
1,turtle,3,3,0,1
1,turtle,4,3,0,1
1,rabbit,5,3,3,1
1,turtle,0,4,1,1
1,turtle,1,4,2,0
1,turtle,2,4,0,2
1,turtle,3,4,0,2
1,turtle,4,4,1,1
1,rabbit,5,4,1,1
1,turtle,0,5,1,0
1,turtle,1,5,1,0
1,turtle,2,5,0,1
1,turtle,3,5,0,1
1,turtle,4,5,0,1
1,rabbit,5,5,3,1
1,turtle,0,6,0,0
1,turtle,1,6,0,0
1,turtle,2,6,1,1
1,turtle,3,6,0,2
1,turtle,4,6,0,0
1,rabbit,5,6,3,3
1,turtle,0,7,0,1
1,turtle,1,7,1,0
1,turtle,2,7,1,0
1,turtle,3,7,0,1
1,turtle,4,7,1,0
1,rabbit,5,7,3,1
1,turtle,0,8,0,2
1,turtle,1,8,0,0
1,turtle,2,8,0,0
1,turtle,3,8,0,0
1,turtle,4,8,1,1
1,rabbit,5,8,1,1
1,turtle,0,9,0,1
1,turtle,1,9,0,1
1,turtle,2,9,1,0
1,turtle,3,9,0,1
1,turtle,4,9,2,1
1,rabbit,5,9,3,1
1,turtle,0,10,0,2
1,turtle,1,10,0,2
1,turtle,2,10,0,0
1,turtle,3,10,0,2
1,turtle,4,10,2,2
1,rabbit,5,10,1,1
1,turtle,0,11,0,1
1,turtle,1,11,0,1
1,turtle,2,11,1,0
1,turtle,3,11,0,1
1,turtle,4,11,2,1
1,rabbit,5,11,3,1
1,turtle,0,12,1,1
1,turtle,1,12,0,2
1,turtle,2,12,2,0
1,turtle,3,12,0,0
1,turtle,4,12,2,2
1,rabbit,5,12,1,1
1,turtle,0,13,0,1
1,turtle,1,13,0,1
1,turtle,2,13,1,0
1,turtle,3,13,1,0
1,turtle,4,13,2,3
1,rabbit,5,13,3,1
1,turtle,0,14,0,2
1,turtle,1,14,0,2
1,turtle,2,14,2,0
1,turtle,3,14,0,0
1,turtle,4,14,3,3
1,rabbit,5,14,3,3
1,turtle,0,15,0,1
1,turtle,1,15,0,1
1,turtle,2,15,1,0
1,turtle,3,15,0,1
1,turtle,4,15,2,3
