Iteration,Winner_Type,Winner_ID,Steps,Distance
0,rabbit,0,16,32
1,turtle,4,36,36
2,rabbit,0,20,40
3,turtle,1,18,18
4,rabbit,0,24,48
5,rabbit,0,14,28
6,rabbit,0,4,8
7,rabbit,0,8,16
8,rabbit,0,32,64
9,turtle,0,8,8
10,turtle,0,30,30
11,rabbit,0,4,8
12,rabbit,0,20,40
13,turtle,4,40,40
14,rabbit,0,20,40
15,rabbit,0,4,8
16,rabbit,0,6,12
17,turtle,0,22,22
18,rabbit,0,6,12
19,turtle,1,16,16
20,rabbit,0,6,12
21,rabbit,0,6,12
22,turtle,0,10,10
23,rabbit,0,36,72
24,turtle,2,22,22
25,turtle,3,16,16
26,rabbit,0,10,20
27,rabbit,0,6,12
28,turtle,2,38,38
29,turtle,1,16,16
30,turtle,4,14,14
31,rabbit,0,10,20
32,rabbit,0,4,8
33,rabbit,0,4,8
34,rabbit,0,20,40
35,turtle,3,28,28
36,turtle,4,16,16
37,rabbit,0,18,36
38,rabbit,0,6,12
39,rabbit,0,10,20
40,rabbit,0,20,40
41,turtle,2,32,32
42,turtle,0,8,8
43,rabbit,0,12,24
44,rabbit,0,4,8
45,rabbit,0,6,12
46,rabbit,0,12,24
47,rabbit,0,8,16
48,rabbit,0,6,12
49,rabbit,0,4,8
50,rabbit,0,36,72
51,rabbit,0,22,44
52,rabbit,0,8,16
53,rabbit,0,30,60
54,turtle,2,8,8
55,rabbit,0,8,16
56,rabbit,0,30,60
57,rabbit,0,10,20
58,rabbit,0,18,36
59,rabbit,0,32,64
60,turtle,2,18,18
61,turtle,1,38,38
62,rabbit,0,16,32
63,rabbit,0,16,32
64,turtle,3,30,30
65,rabbit,0,4,8
66,turtle,3,16,16
67,rabbit,0,14,28
68,rabbit,0,46,92
69,turtle,2,8,8
70,turtle,0,12,12
71,rabbit,0,20,40
72,turtle,3,20,20
73,rabbit,0,4,8
74,rabbit,0,4,8
75,rabbit,0,8,16
76,rabbit,0,4,8
77,rabbit,0,4,8
78,turtle,2,32,32
79,rabbit,0,6,12
80,turtle,2,42,42
81,rabbit,0,14,28
82,turtle,2,36,36
83,rabbit,0,16,32
84,rabbit,0,22,44
85,rabbit,0,22,44
86,rabbit,0,18,36
87,rabbit,0,6,12
88,rabbit,0,12,24
89,rabbit,0,8,16
90,rabbit,0,8,16
91,turtle,0,8,8
92,rabbit,0,20,40
93,turtle,1,42,42
94,rabbit,0,8,16
95,rabbit,0,8,16
96,rabbit,0,4,8
97,rabbit,0,20,40
98,rabbit,0,10,20
99,rabbit,0,10,20
